NAME,STATE,ANNUAL
Governador Mangabeira,BAHIA,5122
Cachoeira,BAHIA,5106
São Félix,BAHIA,5106
Muritiba,BAHIA,5106
São Francisco do Conde,BAHIA,5050
Dias d'Ávila,BAHIA,5197
Brejolândia,BAHIA,5865
Palmeiras,BAHIA,5290
Itaberaba,BAHIA,4954
Cabaceiras do Paraguaçu,BAHIA,5115
Conceição da Feira,BAHIA,5078
Santo Amaro,BAHIA,5064
São Sebastião do Passé,BAHIA,5048
Mata de São João,BAHIA,5096
São Desidério,BAHIA,5820
Seabra,BAHIA,5233
Lajedinho,BAHIA,5026
Rafael Jambeiro,BAHIA,5012
Santo Estêvão,BAHIA,5073
Antônio Cardoso,BAHIA,5073
São Gonçalo dos Campos,BAHIA,5041
Amélia Rodrigues,BAHIA,5053
Terra Nova,BAHIA,5007
Pojuca,BAHIA,5090
Catu,BAHIA,5090
Catolândia,BAHIA,5783
Baianópolis,BAHIA,5816
Oliveira dos Brejinhos,BAHIA,5961
Wagner,BAHIA,4919
Ruy Barbosa,BAHIA,4977
Ipecaetá,BAHIA,5050
Feira de Santana,BAHIA,5051
Conceição do Jacuípe,BAHIA,5065
Teodoro Sampaio,BAHIA,5057
Itanagra,BAHIA,5193
Cristópolis,BAHIA,5832
Ibotirama,BAHIA,5998
Iraquara,BAHIA,5238
Ipirá,BAHIA,5057
Serra Preta,BAHIA,5031
Anguera,BAHIA,5003
Coração de Maria,BAHIA,5084
Araças,BAHIA,5102
Luís Eduardo Magalhães,BAHIA,5639
Barreiras,BAHIA,5873
Wanderley,BAHIA,5905
Muquém de São Francisco,BAHIA,5912
Souto Soares,BAHIA,5305
Utinga,BAHIA,4976
Macajuba,BAHIA,4934
Irará,BAHIA,5097
Pedrão,BAHIA,5096
Alagoinhas,BAHIA,5077
Aramari,BAHIA,5077
Angical,BAHIA,5891
Cotegipe,BAHIA,5897
Brotas de Macaúbas,BAHIA,5799
Mulungu do Morro,BAHIA,5400
Bonito,BAHIA,5044
Baixa Grande,BAHIA,4997
Tanquinho,BAHIA,5066
Santa Bárbara,BAHIA,5070
Santanópolis,BAHIA,5105
Ouriçangas,BAHIA,5109
Mundo Novo,BAHIA,4943
Água Fria,BAHIA,5094
Entre Rios,BAHIA,5168
Cardeal da Silva,BAHIA,5144
Ipupiara,BAHIA,5916
Barra do Mendes,BAHIA,5590
Barro Alto,BAHIA,5595
Tapiramutá,BAHIA,4975
Pintadas,BAHIA,5025
Pé de Serra,BAHIA,5111
Riachão do Jacuípe,BAHIA,5117
Candeal,BAHIA,5133
Lamarão,BAHIA,5065
Inhambupe,BAHIA,5124
Esplanada,BAHIA,5143
Conde,BAHIA,5359
Riachão das Neves,BAHIA,5848
Canarana,BAHIA,5595
Cafarnaum,BAHIA,5585
Piritiba,BAHIA,5008
Mairi,BAHIA,5021
Capela do Alto Alegre,BAHIA,5075
Ichu,BAHIA,5121
Serrinha,BAHIA,5141
Acajutiba,BAHIA,5171
Aporá,BAHIA,5171
Morpará,BAHIA,5969
Ibipeba,BAHIA,5603
Várzea da Roça,BAHIA,5068
Nova Fátima,BAHIA,5156
Conceição do Coité,BAHIA,5163
Biritinga,BAHIA,5142
Sátiro Dias,BAHIA,5139
Jandaíra,BAHIA,5223
Ibititá,BAHIA,5709
Morro do Chapéu,BAHIA,5247
Várzea do Poço,BAHIA,4980
São José do Jacuípe,BAHIA,5074
Gavião,BAHIA,5151
São Domingos,BAHIA,5134
Retirolândia,BAHIA,5145
Barrocas,BAHIA,5182
Teofilândia,BAHIA,5183
Crisópolis,BAHIA,5189
Rio Real,BAHIA,5218
Gentio do Ouro,BAHIA,5992
Lapão,BAHIA,5751
América Dourada,BAHIA,5618
Miguel Calmon,BAHIA,5171
Serrolândia,BAHIA,4992
Quixabeira,BAHIA,5091
Capim Grosso,BAHIA,5102
Valente,BAHIA,5150
Olindina,BAHIA,5190
Uibaí,BAHIA,5829
Presidente Dutra,BAHIA,5789
Irecê,BAHIA,5772
João Dourado,BAHIA,5759
Várzea Nova,BAHIA,5343
Santaluz,BAHIA,5157
Araci,BAHIA,5202
Itapicuru,BAHIA,5220
São Gabriel,BAHIA,5774
Jacobina,BAHIA,5251
Nova Soure,BAHIA,5223
Barra,BAHIA,5969
Central,BAHIA,5836
Caém,BAHIA,5079
Cipó,BAHIA,5208
Formosa do Rio Preto,BAHIA,5789
Santa Rita de Cássia,BAHIA,5865
Itaguaçu da Bahia,BAHIA,6006
Jussara,BAHIA,5846
Ourolândia,BAHIA,5419
Mirangaba,BAHIA,5274
Caldeirão Grande,BAHIA,5118
Queimadas,BAHIA,5200
Tucano,BAHIA,5325
Ribeira do Amparo,BAHIA,5146
Saúde,BAHIA,5202
Ponto Novo,BAHIA,5168
Xique-Xique,BAHIA,6021
Nordestina,BAHIA,5247
Quijingue,BAHIA,5255
Ribeira do Pombal,BAHIA,5219
Mansidão,BAHIA,5809
Buritirama,BAHIA,5901
Umburanas,BAHIA,5592
Pindobaçu,BAHIA,5092
Filadélfia,BAHIA,5188
Itiúba,BAHIA,5225
Cansanção,BAHIA,5254
Heliópolis,BAHIA,5222
Paripiranga,BAHIA,5219
Antônio Gonçalves,BAHIA,5124
Banzaê,BAHIA,5281
Cícero Dantas,BAHIA,5224
Fátima,BAHIA,5206
Campo Formoso,BAHIA,5324
Senhor do Bonfim,BAHIA,5145
Euclides da Cunha,BAHIA,5360
Adustina,BAHIA,5213
Monte Santo,BAHIA,5294
Antas,BAHIA,5228
Sítio do Quinto,BAHIA,5241
Jaguarari,BAHIA,5264
Andorinha,BAHIA,5311
Novo Triunfo,BAHIA,5227
Coronel João Sá,BAHIA,5258
Jeremoabo,BAHIA,5287
Pilão Arcado,BAHIA,6018
Pedro Alexandre,BAHIA,5248
Canudos,BAHIA,5412
Uauá,BAHIA,5487
Sento Sé,BAHIA,6010
Santa Brígida,BAHIA,5360
Remanso,BAHIA,5950
Campo Alegre de Lourdes,BAHIA,5887
Sobradinho,BAHIA,5811
Juazeiro,BAHIA,5767
Paulo Afonso,BAHIA,5539
Glória,BAHIA,5596
Casa Nova,BAHIA,5774
Macururé,BAHIA,5565
Curaçá,BAHIA,5664
Chorrochó,BAHIA,5615
Rodelas,BAHIA,5796
Abaré,BAHIA,5823
Penaforte,CEARÁ,5743
Jati,CEARÁ,5712
Jardim,CEARÁ,5709
Porteiras,CEARÁ,5764
Brejo Santo,CEARÁ,5869
Abaiara,CEARÁ,5903
Mauriti,CEARÁ,5886
Salitre,CEARÁ,5713
Barbalha,CEARÁ,5831
Milagres,CEARÁ,5891
Araripe,CEARÁ,5738
Santana do Cariri,CEARÁ,5708
Crato,CEARÁ,5848
Juazeiro do Norte,CEARÁ,5875
Missão Velha,CEARÁ,5867
Barro,CEARÁ,5875
Campos Sales,CEARÁ,5789
Potengi,CEARÁ,5775
Nova Olinda,CEARÁ,5861
Altaneira,CEARÁ,5852
Caririaçu,CEARÁ,5849
Assaré,CEARÁ,5812
Farias Brito,CEARÁ,5833
Granjeiro,CEARÁ,5885
Aurora,CEARÁ,5897
Antonina do Norte,CEARÁ,5759
Várzea Alegre,CEARÁ,5893
Ipaumirim,CEARÁ,5965
Tarrafas,CEARÁ,5784
Lavras da Mangabeira,CEARÁ,5936
Baixio,CEARÁ,5974
Aiuaba,CEARÁ,5719
Cedro,CEARÁ,5936
Umari,CEARÁ,5934
Saboeiro,CEARÁ,5756
Jucás,CEARÁ,5802
Cariús,CEARÁ,5830
Iguatu,CEARÁ,5851
Icó,CEARÁ,5918
Arneiroz,CEARÁ,5683
Orós,CEARÁ,5889
Parambu,CEARÁ,5622
Quixelô,CEARÁ,5861
Catarina,CEARÁ,5710
Acopiara,CEARÁ,5721
Tauá,CEARÁ,5638
Pereiro,CEARÁ,5931
Ererê,CEARÁ,5908
Deputado Irapuan Pinheiro,CEARÁ,5764
Jaguaribe,CEARÁ,5908
Quiterianópolis,CEARÁ,5540
Piquet Carneiro,CEARÁ,5693
Iracema,CEARÁ,5912
Mombaça,CEARÁ,5657
Milhã,CEARÁ,5760
Solonópole,CEARÁ,5807
Potiretama,CEARÁ,5921
Senador Pompeu,CEARÁ,5680
Jaguaretama,CEARÁ,5911
Novo Oriente,CEARÁ,5564
Pedra Branca,CEARÁ,5594
Jaguaribara,CEARÁ,5845
Alto Santo,CEARÁ,5861
Independência,CEARÁ,5672
Banabuiú,CEARÁ,5754
São João do Jaguaribe,CEARÁ,5825
Crateús,CEARÁ,5589
Quixeramobim,CEARÁ,5683
Tabuleiro do Norte,CEARÁ,5840
Boa Viagem,CEARÁ,5594
Morada Nova,CEARÁ,5848
Limoeiro do Norte,CEARÁ,5796
Quixeré,CEARÁ,5803
Quixadá,CEARÁ,5686
Ibicuitinga,CEARÁ,5775
Ipaporanga,CEARÁ,5533
Russas,CEARÁ,5788
Tamboril,CEARÁ,5609
Monsenhor Tabosa,CEARÁ,5471
Madalena,CEARÁ,5517
Choró,CEARÁ,5636
Ibaretama,CEARÁ,5704
Jaguaruana,CEARÁ,5782
Poranga,CEARÁ,5797
Ararendá,CEARÁ,5526
Nova Russas,CEARÁ,5595
Palhano,CEARÁ,5777
Itaiçaba,CEARÁ,5817
Icapuí,CEARÁ,5981
Catunda,CEARÁ,5651
Itapiúna,CEARÁ,5585
Aracati,CEARÁ,5908
Ipueiras,CEARÁ,5461
Itatira,CEARÁ,5574
Capistrano,CEARÁ,5514
Ocara,CEARÁ,5672
Fortim,CEARÁ,5666
Croatá,CEARÁ,5737
Hidrolândia,CEARÁ,5616
Canindé,CEARÁ,5630
